City_0,11,934956645506634,60,36143547799623
City_1,4,027977536602245,75,94371288052301
City_2,37,09996295658926,1,848881233692412
City_3,61,900162286455306,9,185565954797292
City_4,28,051945675170163,96,98601710878421
City_5,21,696490921752776,56,67799956145748
City_6,25,037797421717734,2,283073067671859
City_7,31,767471377201062,89,62568993271027
City_8,33,64774144685353,46,9448299886477
City_9,23,2309254963903,18,92356789754158
City_10,84,80112132123075,6,487024415323573
City_11,59,297012855381624,82,28146230633867
City_12,64,29732941620875,19,02327873061277
City_13,48,233612615193024,69,61441794611162
City_14,7,906850217037098,11,49032666584311
City_15,12,492946329952304,77,01443462027613
City_16,5,7217225673011685,61,10870029987574
City_17,2,731448030306749,12,718256526232208
City_18,23,900772087318455,95,13117838624987
City_19,66,18193809129338,53,94753175178639
City_20,13,090003759676684,75,692149345343
City_21,68,3223144592814,1,1505567442768982
City_22,15,67129028941907,49,13804701008632
City_23,29,806691926209528,0,6272642304963716
City_24,72,56783780228433,7,170740944762843
City_25,57,20532627458626,56,19262219692184
City_26,45,37851126586497,0,7786978960115709
City_27,47,14723483847163,80,08789616101943
City_28,22,444878987395377,51,98134164495202
City_29,81,91627155618512,20,90184673558637
City_30,93,75620797886721,33,77769782393687
City_31,85,4311326551412,22,224148388649446
City_32,7,898320055383879,57,46909177388159
City_33,17,506313708189293,55,98157973160339
City_34,3,6090884325951866,47,431544659343004
City_35,85,7090878095808,90,55626732575149
City_36,76,21695436874694,20,287815872971816
City_37,54,07699320833108,35,68071156321788
City_38,43,03639302633307,14,663946618836643
City_39,14,445973951467906,43,213327805550875
City_40,80,06294682580116,53,18063776922758
City_41,43,901800741354016,33,28976882342667
City_42,14,602605608447561,90,7585572275186
City_43,92,59085029004537,78,74553791865955
City_44,33,10357305723882,91,27238127904975
City_45,40,93818003998319,57,805588727730985
City_46,70,43529376184776,22,74053936443098
City_47,43,5184923441063,42,88675418288869
City_48,4,418617246335965,66,2868241478779
City_49,74,09902248686011,34,88750178311844
City_50,71,23961048578641,16,591026989376722
City_51,72,30091940885163,92,67854606166009
City_52,29,967370029371487,20,761601392107288
City_53,6,6576077720492455,62,38300911140341
City_54,30,10918584815562,75,98636241059432
City_55,4,04661926557881,96,49424371853127
City_56,36,64833187507539,12,141921044588887
City_57,87,53250320791335,4,440880982992024
City_58,34,98641008303226,45,499169895837596
City_59,87,06522521750944,36,13571020404203
City_60,2,10855905743923,18,006281622015898
City_61,61,96770070437243,19,308485658726728
City_62,57,40770149649752,74,7652908058269
